label	longid	s	uri	strunz
Deloneite	1:1:6900:3	gcmin:deloneite	<https://www.mindat.org/1:1:6900:3>	08.BN.05
Deloryite	1:1:1254:2	gcmin:deloryite	<https://www.mindat.org/1:1:1254:2>	04.FL.85
Delrioite	1:1:1255:9	gcmin:delrioite	<https://www.mindat.org/1:1:1255:9>	04.HG.35
Deltalumite	1:1:47933:0	gcmin:deltalumite	<https://www.mindat.org/1:1:47933:0>	04.BB.05
Delvauxite	1:1:1257:3	gcmin:delvauxite	<https://www.mindat.org/1:1:1257:3>	08.DM.35
Demartinite	1:1:30908:6	gcmin:demartinite	<https://www.mindat.org/1:1:30908:6>	03.CH.20
Demesmaekerite	1:1:1259:7	gcmin:demesmaekerite	<https://www.mindat.org/1:1:1259:7>	04.JJ.20
Demicheleite-(Br)	1:1:32198:1	gcmin:demicheleite-br	<https://www.mindat.org/1:1:32198:1>	02.FC.25
Demicheleite-(Cl)	1:1:38694:2	gcmin:demicheleite-cl	<https://www.mindat.org/1:1:38694:2>	02.FC.25
Demicheleite-(I)	1:1:39683:3	gcmin:demicheleite-i	<https://www.mindat.org/1:1:39683:3>	02.FC.25
Denisovite	1:1:1261:0	gcmin:denisovite	<https://www.mindat.org/1:1:1261:0>	09.HA.85
Denningite	1:1:1262:7	gcmin:denningite	<https://www.mindat.org/1:1:1262:7>	04.JK.30
Depmeierite	1:1:39787:8	gcmin:depmeierite	<https://www.mindat.org/1:1:39787:8>	09.FB.05
Derbylite	1:1:1263:4	gcmin:derbylite	<https://www.mindat.org/1:1:1263:4>	04.JB.55
Derriksite	1:1:1264:1	gcmin:derriksite	<https://www.mindat.org/1:1:1264:1>	04.JG.30
Dervillite	1:1:1265:8	gcmin:dervillite	<https://www.mindat.org/1:1:1265:8>	02.LA.10
Desautelsite	1:1:1266:5	gcmin:desautelsite	<https://www.mindat.org/1:1:1266:5>	05.DA.50
Descloizite	1:1:1267:2	gcmin:descloizite	<https://www.mindat.org/1:1:1267:2>	08.BH.40
Despujolsite	1:1:1269:6	gcmin:despujolsite	<https://www.mindat.org/1:1:1269:6>	07.DF.25
Dessauite-(Y)	1:1:6902:7	gcmin:dessauite-y	<https://www.mindat.org/1:1:6902:7>	04.CC.40
Destinezite	1:1:5222:7	gcmin:destinezite	<https://www.mindat.org/1:1:5222:7>	08.DB.05
Deveroite-(Ce)	1:1:43870:4	gcmin:deveroite-ce	<https://www.mindat.org/1:1:43870:4>	10.AB
Devilline	1:1:1270:2	gcmin:devilline	<https://www.mindat.org/1:1:1270:2>	07.DD.30
Devitoite	1:1:39450:7	gcmin:devitoite	<https://www.mindat.org/1:1:39450:7>	09.DC.05
Dewindtite	1:1:1273:3	gcmin:dewindtite	<https://www.mindat.org/1:1:1273:3>	08.EC.10
Dewitite	1:1:55616:1	gcmin:dewitite	<https://www.mindat.org/1:1:55616:1>	02.HD
Diaboleite	1:1:1276:4	gcmin:diaboleite	<https://www.mindat.org/1:1:1276:4>	03.DB.05
Diadochite	1:1:1279:5	gcmin:diadochite	<https://www.mindat.org/1:1:1279:5>	08.DB.05
Diamond	1:1:1282:5	gcmin:diamond	<https://www.mindat.org/1:1:1282:5>	01.CB.10a
Diaoyudaoite	1:1:1283:2	gcmin:diaoyudaoite	<https://www.mindat.org/1:1:1283:2>	04.CC.45
Diaphorite	1:1:1284:9	gcmin:diaphorite	<https://www.mindat.org/1:1:1284:9>	02.JB.05
Diaspore	1:1:1285:6	gcmin:diaspore	<https://www.mindat.org/1:1:1285:6>	04.FD.10
Dickinsonite-(KMnNa)	1:1:1286:3	gcmin:dickinsonite-kmnna	<https://www.mindat.org/1:1:1286:3>	08.BF.05
Dickite	1:1:1287:0	gcmin:dickite	<https://www.mindat.org/1:1:1287:0>	09.ED.05
Dickthomssenite	1:1:11216:1	gcmin:dickthomssenite	<https://www.mindat.org/1:1:11216:1>	04.HD.25
Dietrichite	1:1:1289:4	gcmin:dietrichite	<https://www.mindat.org/1:1:1289:4>	07.CB.85
Dietzeite	1:1:1290:0	gcmin:dietzeite	<https://www.mindat.org/1:1:1290:0>	04.KD.05
Digenite	1:1:1291:7	gcmin:digenite	<https://www.mindat.org/1:1:1291:7>	02.BA.10
Dimorphite	1:1:1292:4	gcmin:dimorphite	<https://www.mindat.org/1:1:1292:4>	02.FA.10
Dingdaohengite-(Ce)	1:1:27437:3	gcmin:dingdaohengite-ce	<https://www.mindat.org/1:1:27437:3>	09.BE.70
Dinite	1:1:6904:1	gcmin:dinite	<https://www.mindat.org/1:1:6904:1>	10.BA.15
Diopside	1:1:1294:8	gcmin:diopside	<https://www.mindat.org/1:1:1294:8>	09.DA.15
Dioptase	1:1:1295:5	gcmin:dioptase	<https://www.mindat.org/1:1:1295:5>	09.CJ.30
Dioskouriite	1:1:47598:1	gcmin:dioskouriite	<https://www.mindat.org/1:1:47598:1>	03.DA.70
Direnzoite	1:1:31408:8	gcmin:direnzoite	<https://www.mindat.org/1:1:31408:8>	09.GF.55
Dissakisite-(Ce)	1:1:1296:2	gcmin:dissakisite-ce	<https://www.mindat.org/1:1:1296:2>	09.BG.05b
Dissakisite-(La)	1:1:27401:8	gcmin:dissakisite-la	<https://www.mindat.org/1:1:27401:8>	09.BG.05
Disulfodadsonite	1:1:42857:6	gcmin:disulfodadsonite	<https://www.mindat.org/1:1:42857:6>	02
Dittmarite	1:1:1297:9	gcmin:dittmarite	<https://www.mindat.org/1:1:1297:9>	08.CH.20
Diversilite-(Ce)	1:1:11518:6	gcmin:diversilite-ce	<https://www.mindat.org/1:1:11518:6>	09.CB.10
Dixenite	1:1:1298:6	gcmin:dixenite	<https://www.mindat.org/1:1:1298:6>	08.BE.45
Djerfisherite	1:1:1299:3	gcmin:djerfisherite	<https://www.mindat.org/1:1:1299:3>	02.FC.05
Djurleite	1:1:1300:6	gcmin:djurleite	<https://www.mindat.org/1:1:1300:6>	02.BA.05
Dmisteinbergite	1:1:1301:3	gcmin:dmisteinbergite	<https://www.mindat.org/1:1:1301:3>	09.EG.15
Dokuchaevite	1:1:52762:8	gcmin:dokuchaevite	<https://www.mindat.org/1:1:52762:8>	08.BB.45
Dolerophanite	1:1:1302:0	gcmin:dolerophanite	<https://www.mindat.org/1:1:1302:0>	07.BB.20
Dollaseite-(Ce)	1:1:1303:7	gcmin:dollaseite-ce	<https://www.mindat.org/1:1:1303:7>	09.BG.05
Dolomite	1:1:1304:4	gcmin:dolomite	<https://www.mindat.org/1:1:1304:4>	05.AB.10
Doloresite	1:1:1305:1	gcmin:doloresite	<https://www.mindat.org/1:1:1305:1>	04.HE.30
Domerockite	1:1:39551:5	gcmin:domerockite	<https://www.mindat.org/1:1:39551:5>	08.C
Domeykite	1:1:1306:8	gcmin:domeykite	<https://www.mindat.org/1:1:1306:8>	02.AA.10b
Donbassite	1:1:6905:8	gcmin:donbassite	<https://www.mindat.org/1:1:6905:8>	09.EC.55
Dondoellite	1:1:55598:6	gcmin:dondoellite	<https://www.mindat.org/1:1:55598:6>	08.CG
Dongchuanite	1:1:55609:1	gcmin:dongchuanite	<https://www.mindat.org/1:1:55609:1>	08.BG
Donharrisite	1:1:1308:2	gcmin:donharrisite	<https://www.mindat.org/1:1:1308:2>	02.BD.20
Donnayite-(Y)	1:1:1309:9	gcmin:donnayite-y	<https://www.mindat.org/1:1:1309:9>	05.CC.05
